,0,1,2,3
ins,0.0,0.0,0.0006731218068074244,0.0
einfach,0.0,0.0,0.0,0.0
he,0.00042806680905354037,0.0,0.0,0.0
schnellstmöglich,0.0,0.0013029082341352355,0.0,0.0
schlauen,0.0,0.0,0.0003365609034037122,0.0
vokabel,0.0,0.0,0.0003365609034037122,0.0
platzieren,0.0,0.0,0.0,0.00034963287796214136
gestern,0.0,0.0,0.0,0.00034963287796214136
vorherige,0.0,0.0,0.0006731218068074244,0.0
story,0.0,0.00043430274471174514,0.0,0.0
jeweils,4.441594448846393e-05,9.012596254755038e-05,0.0001396853957037052,0.0
weitere,0.0,0.0,0.0,0.00034963287796214136
gelöst,0.00042806680905354037,0.0,0.0,0.0
guckst,0.00021403340452677018,0.0,0.0,0.0
spruch,0.0,0.0,0.0013462436136148488,0.0
testen,0.00021403340452677018,0.0,0.0,0.0
dafür,0.00022207972244231962,0.00018025192509510076,0.0,0.00014511075533507232
griff,0.00021403340452677018,0.0,0.0,0.0
verbrannt,0.0,0.00043430274471174514,0.0,0.0
bekommen,8.883188897692785e-05,0.0,6.98426978518526e-05,0.00014511075533507232
fehlen,0.0,0.00043430274471174514,0.0,0.0
ihren,0.00021403340452677018,0.0,0.0,0.0
kali,0.0,0.0,0.0003365609034037122,0.0
mitspielen,0.0,0.0,0.0001682804517018561,0.00017481643898107068
usa,0.00021403340452677018,0.0,0.0,0.0
ergebnisprotokolle,0.00021403340452677018,0.0,0.0,0.0
provisorisch,0.0,0.0,0.0,0.00034963287796214136
ungefäherr,0.00042806680905354037,0.00043430274471174514,0.0,0.0
resultat,0.0,0.0,0.0003365609034037122,0.0
time,0.0,0.0008686054894234903,0.0005048413551055683,0.0
quellen,0.0,0.00043430274471174514,0.0,0.0
klimawandel,0.0,0.0,0.0003365609034037122,0.0
deinem,0.00010701670226338509,0.0,0.0001682804517018561,0.0
segmentieren,0.0,0.00043430274471174514,0.0,0.0
synonym,0.0,0.00043430274471174514,0.0,0.0
lotte,0.0,0.00043430274471174514,0.0,0.0
irgendwem,0.00021403340452677018,0.0,0.0,0.0
welches,0.00010701670226338509,0.0,0.0006731218068074244,0.0
idee,0.0,0.0,0.0,0.0
na,4.441594448846393e-05,9.012596254755038e-05,0.0,7.255537766753616e-05
reduzierten,0.00021403340452677018,0.0,0.0,0.0
klicken,0.0,0.0,0.0008414022585092805,0.00034963287796214136
ursprünglich,0.00021403340452677018,0.0,0.0,0.0
problem,0.00031091161141924746,0.0,0.0002095280935555578,0.0004353322660052169
hast,0.0,0.0,0.0,0.0
deswegen,0.00042806680905354037,0.0,0.0,0.0
produkt,0.00010701670226338509,0.0,0.0001682804517018561,0.0
meinte,0.0,0.0,0.0003365609034037122,0.0
intelligenter,0.0,0.0006514541170676177,0.0,0.00017481643898107068
krieger,0.00021403340452677018,0.0,0.0,0.0
paragraphen,0.0,0.0,0.0,0.001748164389810707
wären,4.441594448846393e-05,0.0,6.98426978518526e-05,7.255537766753616e-05
bubble,0.0,0.0,0.0006731218068074244,0.00017481643898107068
minutes,0.00021403340452677018,0.0,0.0,0.0
möglich,4.441594448846393e-05,9.012596254755038e-05,0.0,7.255537766753616e-05
anzeigt,0.0,9.012596254755038e-05,0.0001396853957037052,7.255537766753616e-05
desch,0.0,0.0,0.0,0.00034963287796214136
abschließend,0.00021403340452677018,0.0,0.0,0.0
meistens,0.00010701670226338509,0.00021715137235587257,0.0,0.0
ple,0.0,0.0,0.0003365609034037122,0.0
kleiner,0.0,0.00027037788764265114,0.000349213489259263,0.00021766613300260845
möchte,0.0009631503203704659,0.001085756861779363,0.0,0.0
schwieriger,0.00010701670226338509,0.0,0.0,0.00017481643898107068
frame,0.0,0.0,0.0,0.0006992657559242827
pascal,0.00010701670226338509,0.00043430274471174514,0.0,0.0
sehr,0.0,0.0,0.0,0.0
rausfinden,0.00021403340452677018,0.0,0.0,0.0
rüberbringen,0.0,0.0,0.0,0.00034963287796214136
app,0.00021403340452677018,0.0,0.0,0.0
zur,0.0,0.0,0.0003365609034037122,0.00017481643898107068
henno,0.0,0.0,0.0003365609034037122,0.0
nomen,0.0,0.0,0.0,0.00034963287796214136
sucht,0.0,0.0008686054894234903,0.0003365609034037122,0.0
blenden,0.0,0.0,0.0,0.00034963287796214136
statistiken,0.0,0.00043430274471174514,0.0,0.0
denen,0.0,0.0,0.0003365609034037122,0.0
pia,0.00021403340452677018,0.0,0.0,0.0
erstellen,0.00021403340452677018,0.0,0.0,0.0
probieren,0.00021403340452677018,0.0,0.0,0.0
geht,0.0,0.0,0.0,0.0
juni,0.0,0.00043430274471174514,0.0,0.00017481643898107068
tschüß,0.0,0.00021715137235587257,0.0001682804517018561,0.0
schrift,0.0,0.0,0.0,0.00034963287796214136
